season,date,opponent,location,type,longtype,result,unc,opp,OT,box
2015-16,24-Jan-16,Virginia Tech,away,League,League,W,75,70,,https:///dadgumboxscores.com/boxes/2016/unc-75-vt-70
2015-16,20-Jan-16,Wake Forest,home,League,League,W,83,68,,https:///dadgumboxscores.com/boxes/2016/unc-83-wake-68
2015-16,16-Jan-16,NC State,home,League,League,W,67,55,,https:///dadgumboxscores.com/boxes/2016/unc-67-state-55
2015-16,9-Jan-16,Syracuse,away,League,League,W,84,73,,https:///dadgumboxscores.com/boxes/2016/unc-84-cuse-73
2015-16,4-Jan-16,Florida State,away,League,League,W,106,90,,https:///dadgumboxscores.com/boxes/2016/unc-106-fsu-90
2015-16,2-Jan-16,Georgia Tech,home,League,League,W,86,68,,https:///dadgumboxscores.com/boxes/2016/unc-86-gt-78
2015-16,30-Dec-15,Clemson,home,League,League,W,80,69,,https:///dadgumboxscores.com/boxes/2016/unc-80-clem-69
2015-16,28-Dec-15,UNC-G,home,Non-Conference,Non-Conference,W,96,63,,https:///dadgumboxscores.com/boxes/2016/unc-96-uncg-63
2015-16,21-Dec-15,Appalachian State,home,Non-Conference,Non-Conference,W,94,70,,https:///dadgumboxscores.com/boxes/2016/unc-94-app-70
2015-16,19-Dec-15,UCLA,neutral,Non-Conference,Non-Conference,W,89,76,,https:///dadgumboxscores.com/boxes/2016/unc-89-ucla-76
2015-16,16-Dec-15,Tulane,home,Non-Conference,Non-Conference,W,96,72,,https:///dadgumboxscores.com/boxes/2016/unc-96-tulane-72
2015-16,12-Dec-15,Texas,away,Non-Conference,Non-Conference,L,82,84,,https:///dadgumboxscores.com/boxes/2016/texas-84-unc-82
2015-16,6-Dec-15,Davidson,home,Non-Conference,Non-Conference,W,98,65,,https:///dadgumboxscores.com/boxes/2016/unc-98-davidson-65
2015-16,1-Dec-15,Maryland,home,Non-Conference,Non-Conference (Big Ten Challenge),W,89,81,,https:///dadgumboxscores.com/boxes/2016/unc-89-maryland-81
2015-16,24-Nov-15,Kansas State,neutral,Non-Conference,Non-Conference (CBE Hall of Fame),W,80,70,,https:///dadgumboxscores.com/boxes/2016/unc-80-kstate-70
2015-16,23-Nov-15,Northwestern,neutral,Non-Conference,Non-Conference (CBE Hall of Fame),W,80,69,,https:///dadgumboxscores.com/boxes/2016/unc-80-nw-69
2015-16,21-Nov-15,Northern Iowa,away,Non-Conference,Non-Conference,L,67,71,,https:///dadgumboxscores.com/boxes/2016/uni-71-unc-67
2015-16,18-Nov-15,Wofford,home,Non-Conference,Non-Conference,W,78,58,,https:///dadgumboxscores.com/boxes/2016/unc-78-woff-58
